1	1	48.715345997681	37.595799565315	trol 
2	2	48.717551023781	37.599720954895	bus 
3	3	48.71758110774	37.599458098411	bus 
4	4	48.7215538017	37.603036165237	bus 
5	5	48.720651346427	37.601992785931	bus 
6	6	48.725218311538	37.602789402007	bus 
7	7	48.725182924019	37.602236866951	bus 
8	8	48.726628483916	37.598782181739	bus 
9	9	48.726968193309	37.597462534904	bus 
10	10	48.723657698271	37.59298056364	bus 
11	11	48.724418547524	37.59382545948	bus 
12	12	48.720148795688	37.59053438902	bus 
13	13	48.719655087784	37.590421736241	bus 
14	14	48.717460771801	37.588160634042	bus 
15	15	48.71754040591	37.588380575181	bus 
16	16	48.728135926843	37.59619385004	bus 
17	17	48.728327007931	37.596620321274	bus 
18	18	48.72815538884	37.59467035532	bus 
19	19	48.728102310651	37.594222426415	bus 
20	20	48.730152857262	37.589158415794	bus 
21	21	48.730451851465	37.587790489196	bus 
22	22	48.732608449294	37.582329511643	bus 
23	23	48.732389078515	37.58230805397	bus 
24	24	48.73454205516	37.577018737793	bus 
25	25	48.734193551637	37.577549815179	bus 
26	26	48.737901363713	37.572212219239	bus 
28	28	48.738003961495	37.571876943112	tram 
29	29	48.737896056926	37.571976184846	bus 
31	31	48.742875346167	37.575645446777	bus 
34	34	48.741649584673	37.57438749075	tram 
35	35	48.741700879765	37.574561834336	bus 
36	36	48.746660337273	37.57830619812	bus 
38	38	48.74689379468	37.578102350234	bus 
41	41	48.749148725169	37.581055462361	bus 
42	42	48.748989556924	37.579424679279	tram 
44	44	48.749245994403	37.580028176308	bus 
46	46	48.749474134232	37.579792141915	bus 
47	47	48.753005748146	37.581417560577	tram 
49	49	48.753467297773	37.581978142261	bus 
51	51	48.753295764499	37.581701874733	bus 
52	52	48.752139225902	37.582324147224	bus 
55	55	48.757133018366	37.583338022232	tram 
57	57	48.757274478344	37.583641111852	bus 
59	59	48.762527666199	37.586452066898	bus 
60	60	48.762418046214	37.586122155188	bus 
62	62	48.761709046673	37.585709095001	tram 
64	64	48.766829177609	37.588477134705	bus 
66	66	48.767050165985	37.588147222995	tram 
68	68	48.767018343718	37.588292062283	bus 
69	69	48.771475032506	37.589324712753	tram 
70	70	48.771110875235	37.590802609921	bus 
71	71	48.730685384161	37.598307430745	bus 
72	72	48.730687153344	37.598551511764	bus 
73	73	48.733768975552	37.600844800472	bus 
74	74	48.733860967341	37.601115703583	bus 
75	75	48.738290526604	37.604913711548	bus 
76	76	48.738126017204	37.604428231716	bus 
77	77	48.741138399691	37.599050402642	bus 
78	78	48.740890764958	37.598927021026	bus 
79	79	48.743038071275	37.593932747841	bus 
80	80	48.742804595956	37.59379863739	bus 
81	81	48.744905834784	37.58878827095	bus 
82	82	48.744573321359	37.588670253754	bus 
83	83	48.746239403753	37.584941983223	bus 
84	84	48.746030704314	37.584818601608	bus 
85	85	48.743940124818	37.59374499321	bus 
86	86	48.746950390252	37.595343589783	bus 
87	87	48.747671978205	37.59526848793	bus 
88	88	48.747445598786	37.595354318619	bus 
89	89	48.748895824278	37.591899633408	bus 
90	90	48.749284902044	37.590140104294	bus 
91	91	48.737255700455	37.587557137013	bus 
92	92	48.737280465774	37.587825357914	bus 
93	93	48.741463860627	37.59101986885	bus 
94	94	48.741580601537	37.591277360917	bus 
96	96	48.733080800867	37.568577826024	tram 
98	98	48.732818973576	37.568765580655	bus 
99	99	48.733119721024	37.568736076355	bus 
100	100	48.72652232426	37.564111948013	bus 
102	102	48.725789816527	37.563409209251	tram 
104	104	48.725812818139	37.563575506211	bus 
105	105	48.720994635243	37.56107032299	tram 
108	108	48.721074263757	37.561244666576	bus 
109	109	48.721056568543	37.561483383179	bus 
110	110	48.718807456101	37.564887106418	tram 
111	111	48.718793299293	37.564549148083	tram 
114	114	48.716347650732	37.567298412323	bus 
115	115	48.716342341668	37.567499577999	tram 
116	116	48.716275093495	37.567759752273	bus 
117	117	48.713866487788	37.570667266846	bus 
120	120	48.713731984731	37.570372223854	bus 
121	121	48.713726675392	37.570637762547	tram 
122	122	48.711130341705	37.574202418327	bus 
124	124	48.711011760213	37.574191689491	bus 
126	126	48.710813533809	37.574296295643	tram 
127	127	48.708767508518	37.577370107173	bus 
130	130	48.708624142035	37.577313780784	bus 
131	131	48.708546263774	37.577209174633	tram 
132	132	48.705374392198	37.581771612168	bus 
135	135	48.705250486907	37.58179038763	bus 
136	136	48.705186764067	37.581675052642	tram 
138	138	48.703611368209	37.58538722992	bus 
141	141	48.703517550945	37.585314810276	bus 
148	148	48.773705880069	37.564669847489	tram 
149	149	48.773486688662	37.564165592194	bus 
150	150	48.773373557238	37.563806176186	bus 
151	151	48.762936086934	37.592623829842	bus 
152	152	48.762692095725	37.592827677726	bus 
153	153	48.762306657922	37.596040964127	bus 
154	154	48.761960114986	37.596797347069	bus 
155	155	48.761136181876	37.601362466812	bus 
156	156	48.76093815302	37.601512670517	bus 
157	157	48.760008114196	37.606775164604	tram 
158	158	48.759788862992	37.607198953629	tram 
159	159	48.758971967015	37.611050605774	tram 
160	160	48.75924426715	37.610444426537	tram 
161	161	48.758356634	37.614022493363	tram 
162	162	48.758363706836	37.614709138871	tram 
163	163	48.75779964503	37.618279159069	tram 
164	164	48.757647577127	37.618115544319	tram 
165	165	48.758947212383	37.62235879898	tram 
166	166	48.758933066875	37.622535824775	tram 
167	167	48.759758804284	37.625539898873	tram 
168	168	48.759658019075	37.624965906143	tram 
169	169	48.757472521645	37.632610201836	tram 
171	171	48.726409087046	37.541871070862	bus 
172	172	48.726058757804	37.542868852615	trol 
